name,battery,camera,display,processor,memory,warranty,price,rating,reviews
"POCO F1 (Rosso Red, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,19999,4.5,29900
"Panasonic Eluga I2 4G (METALIC GOLD, 8 GB)",2000 mAh Battery,8MP Rear Camera,12.7 cm (5 inch) HD Display,1 Year Manufacturer Warranty,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,Null,4490,3.7,45
"POCO F1 (Steel Blue, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,19999,4.5,29900
"OPPO A5s (Black, 32 GB)",4230 mAh Battery,13MP + 2MP | 8MP Front Camera,15.75 cm (6.2 inch) HD+ Display,MTK MT6765 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9490,4.3,336
"Gionee F103 Pro (White, 16 GB)",2400 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,MT6735 Processor,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year,8600,3.9,618
"ITEL A46 (NEON WATER, 32 GB)",2400 mAh Battery,8MP Rear Camera,13.84 cm (5.45 inch) Full HD Display,1 Year,2 GB RAM | 32 GB ROM,Null,4730,4.1,46
"Micromax Canvas Music M1 (Matte Black, 16 GB)",2500 mAh Li-polymer Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,Meditek Quad Core Processor,3 GB RAM | 16 GB ROM | Expandable Upto 32 GB,1 Year for Handset,5299,3.6,45
"Realme 3i (Diamond Blue, 64 GB)",4230 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P60 Octa Core 2.0 GHz Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Triple Slots (Dual SIM + Memory Card),10499,4.4,6417
"OPPO A9 (Fluorite Purple, 128 GB)",4020 mAh Li-polymer Battery,16MP + 2MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,MTK MT6771V (P70) Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and Battery and 6 Months for Accessories,16490,4.4,71
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)",4000 mAh Li-polymer Battery,48MP + 5MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 675 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Quick Charge 4.0 Support,13999,4.4,25217
"Redmi 8A (Sunset Red, 32 GB)",5000 mAh Battery,12MP Rear Camera | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,6999,4.4,10773
"ZOPO Color - X5.5 (Orchid Gold, 16 GB)",2500 mAh Battery,8MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Display,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.,3 GB RAM | 16 GB ROM,Null,4570,3.6,12
"Black Shark 2 (Shadow Black, 128 GB)",4000 mAh Battery,48MP + 12MP | 20MP Front Camera,16.23 cm (6.39 inch) Display,SM855 (Qualcomm Snapdragon Premium Tier) Processor,6 GB RAM | 128 GB ROM,Brand Warranty of 1 Year Available for Mobile,31999,4.4,386
"POCO F1 (Graphite Black, 128 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,18999,4.5,29900
"Infinix Smart 2 (City Blue, 32 GB)",3050 mAh Li-ion Polymer Battery,13MP Rear Camera | 8MP Front Camera,13.84 cm (5.45 inch) HD+ Display,MTK6739 64 bit Quad Core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,7499,4,4013
"Gionee P7 Max (Grey, 32 GB)",3100 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) HD Display,Mediatek MT6595 Octa Core 2.2GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile,5950,3.9,1158
"Samsung Galaxy A30s (Prism Crush White, 64 GB)",4000 mAh Li-ion Battery,25MP + 5MP + 8MP | 16MP Front Camera,16.26 cm (6.4 inch) HD+ Display,Exynos 7904 Processor,4 GB RAM | 64 GB ROM,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,18900,4.3,298
"Samsung Galaxy A10s (Black, 32 GB)",4000 mAh Lithium-ion Battery,13MP + 2MP | 8MP Front Camera,15.75 cm (6.2 inch) HD+ Display,MediaTek MT6762 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,8980,4.3,165
"Itel A44 Air (Blusher Gold, 8 GB)",2400 mAh Battery,5MP + 0.08MP | 2MP Front Camera,13.84 cm (5.45 inch) HD Display,1 Year Brand Warranty,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,Null,3590,4.1,31
"Itel A44 Air (Slate Grey, 8 GB)",2400 mAh Battery,5MP + 0.08MP | 2MP Front Camera,13.84 cm (5.45 inch) Display,1 Year Warranty,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,Null,3590,4.1,31
"Nokia 6.1 (Iron, White, 32 GB)",3000 mAh Battery,16MP Rear Camera,13.97 cm (5.5 inch) Full HD Display,Qualcomm Snapdragon 630 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile,8999,4.2,3457
"Homtom H3 (Silver, 32 GB)",3500 mAh Battery,13MP Rear Camera,13.97 cm (5.5 inch) Display,3 Year Manufacturing Warranty(Currently Services Not Available at South India),3 GB RAM | 32 GB ROM,Null,5049,3.6,56
"OPPO Reno (JET BLACK, 128 GB)",3765 mAh Battery,48MP Rear Camera,16.26 cm (6.4 inch) Display,Brand Warranty of 1 Year Available for Mobile and Battery and 6 Months for Accessories,8 GB RAM | 128 GB ROM,Null,29950,Null,Null
"Lava Z53 (Prism Rose, 16 GB)",4120 mAh Li-polymer Battery,8MP Rear Camera | 5MP Front Camera,15.49 cm (6.1 inch) Display,UniSoC SC9832E Processor,1 GB RAM | 16 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5499,3.9,7
"Panasonic Eluga Ray 610 (Blue, 32 GB)",4010 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P22 Octa Core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Domestic,5699,4.1,714
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)",3800 mAh Lithium-ion Battery,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,39000,4.4,68
